,start_drowsy,end_drowsy,Duration
3,11064,11080,17
4,3720,3734,15
5,9569,9583,15
6,11956,11970,15
7,13137,13150,14
8,13862,13875,14
9,96,107,12
10,514,525,12
11,1423,1434,12
12,3927,3938,12
13,7107,7118,12
14,223,232,10
15,3559,3568,10
16,5645,5654,10
17,6744,6753,10
18,303,311,9
19,1774,1782,9
20,12319,12327,9
21,7944,7951,8
22,8782,8789,8
23,401,407,7
24,1013,1019,7
25,2232,2238,7
26,3737,3743,7
27,4215,4221,7
28,6425,6431,7
29,6670,6676,7
30,6687,6693,7
31,7018,7024,7
32,7851,7857,7
33,7904,7910,7
34,8230,8236,7
35,8480,8486,7
36,8691,8697,7
37,9281,9287,7
38,9778,9784,7
39,11098,11104,7
40,11117,11123,7
41,11871,11877,7
42,13581,13587,7
43,13780,13786,7
44,6525,6530,6
45,8273,8278,6
